Date,Line,Type,Gate,TTI Status
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,L5G1,USLAX,SINGLE
6/1/2020,MAE,L5G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
4/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
5/14/2020,MAE,45G1,USLAX,SINGLE
5/5/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
5/5/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/2/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,22G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
5/22/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
5/28/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
5/21/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
4/10/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
4/21/2020,MAE,45G1,USLAX,SINGLE
5/5/2020,MAE,22G1,USLAX,SINGLE
5/27/2020,MAE,42G1,USLAX,SINGLE
4/6/2020,MAE,45G1,USLAX,SINGLE
4/14/2020,MAE,42G1,USLAX,SINGLE
5/7/2020,MAE,42U1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,L5G1,USLAX,SINGLE
6/1/2020,MAE,L5G1,USLAX,SINGLE
6/1/2020,MAE,L5G1,USLAX,SINGLE
6/2/2020,MAE,L5G1,USLAX,SINGLE
6/2/2020,MAE,L5G1,USLAX,SINGLE
6/1/2020,MAE,L5G1,USLAX,SINGLE
6/1/2020,MAE,L5G1,USLAX,SINGLE
6/1/2020,MAE,L5G1,USLAX,SINGLE
6/1/2020,MAE,22R1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
5/12/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/2/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
6/1/2020,MAE,45G1,USLAX,SINGLE
5/13/2020,MAE,45G1,USLAX,SINGLE
5/14/2020,MAE,45G1,USLAX,SINGLE
5/26/2020,MAE,45R1,USLAX,SINGLE
5/5/2020,MAE,45R1,USLAX,SINGLE
6/1/2020,MAE,42G1,USLAX,SINGLE
6/1/2020,MAE,42G1,USLAX,SINGLE
6/1/2020,MAE,42G1,USLAX,SINGLE
6/1/2020,MAE,42G1,USLAX,SINGLE
6/1/2020,MAE,42G1,USLAX,SINGLE
6/1/2020,MAE,42G1,USLAX,SINGLE
6/1/2020,MAE,42G1,USLAX,SINGLE
6/1/2020,MAE,42G1,USLAX,SINGLE
