Line,Type,Date,TTI Status
MSC,20',6/1/2020,DUAL
MSC,40',6/1/2020,DUAL
MSC,40HC,6/1/2020,DUAL
MSC,45,6/1/2020,DUAL
MAE,20',6/1/2020,SINGLE
MAE,40',6/1/2020,SINGLE
MAE,40HC,6/1/2020,SINGLE
MAE,45,6/1/2020,SINGLE
SML,20',6/1/2020,NO
SML,40',6/1/2020,NO
SML,40HC,6/1/2020,NO
SML,45,6/1/2020,NO
MSC,20',6/2/2020,DUAL
MSC,40',6/2/2020,DUAL
MSC,40HC,6/2/2020,DUAL
MSC,45,6/2/2020,DUAL
MAE,20',6/2/2020,SINGLE
MAE,40',6/2/2020,SINGLE
MAE,40HC,6/2/2020,SINGLE
MAE,45,6/2/2020,SINGLE
SML,20',6/2/2020,NO
SML,40',6/2/2020,NO
SML,40HC,6/2/2020,NO
SML,45,6/2/2020,NO
MSC,20',6/3/2020,DUAL
MSC,40',6/3/2020,SINGLE
MSC,40HC,6/3/2020,SINGLE
MSC,45,6/3/2020,SINGLE
MAE,20',6/3/2020,SINGLE
MAE,40',6/3/2020,SINGLE
MAE,40HC,6/3/2020,SINGLE
MAE,45,6/3/2020,SINGLE
SML,20',6/3/2020,NO
SML,40',6/3/2020,DUAL
SML,40HC,6/3/2020,DUAL
SML,45,6/3/2020,DUAL
